Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Adrian Peterson,183.0,83.0,1814.0,8546.0,65.0,1.2333333333333334,9.213333333333333,25.0,77.0,0,418.0,43.71333333333334,4.426666666666666,10.293333333333333,312.0,236.0,1781.0,7.760000000000001,4.0,76.0,41.266666666666666,77.98,6.293333333333334,36,4.0,3.0,38.0,98.0,2.0,5.0,1.0,2.0,1.0,1.0,0,6.0,42.1,16.0,2.6,24.5,9.5,4.0,4.0,8.0,2.0,0.0,0.0,25.0,100.0,2.0,3500000.0
Andre Ellington,53.0,15.0,398.0,1697.0,9.0,2.175,19.425,4.0,16.0,0,73.0,40.3,4.5,7.825,164.0,112.0,999.0,8.775,3.0,53.0,40.800000000000004,66.5,5.85,28,12.0,2.0,20.0,55.0,1.0,29.0,3.3,30.8,0.0,3.0,0,3.0,40.0,14.0,2.8,4.6,1.7,59.0,39.0,369.0,9.5,0.0,16.0,47.5,66.1,6.3,905000.0
Antone Smith,67.0,0.0,40.0,344.0,4.0,0.48571428571428577,6.942857142857142,3.0,5.0,0,13.0,63.3,9.6,0.8857142857142856,29.0,21.0,309.0,11.633333333333335,3.0,7.0,22.22,44.02,5.340000000000001,31,3.0,0.0,10.0,47.0,0.0,30.0,2.0,25.7,2.0,1.0,0,2.0,60.0,8.0,4.7,15.7,3.3,9.0,6.0,77.0,12.8,0.0,2.0,44.4,66.7,8.6,0.0
Antonio Andrews,34.0,10.0,145.0,535.0,3.0,0.6666666666666666,5.066666666666667,1.0,4.0,0,31.0,44.95,5.55,3.433333333333333,31.0,23.0,185.0,6.9,0.0,8.0,20.7,86.2,5.75,24,16.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50.0,9.0,7.5,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benny Cunningham,57.0,3.0,171.0,748.0,4.0,1.575,12.525,6.0,10.0,0,34.0,41.5,4.475,2.925,119.0,93.0,752.0,8.225,1.0,40.0,43.425,73.725,5.975,28,15.0,0.0,11.0,20.0,0.0,9.0,0.1,0.6,0.0,0.0,0,0.0,18.2,6.0,1.8,1.3,0.7,2.0,1.0,9.0,9.0,0.0,1.0,50.0,50.0,4.5,855000.0
Bernard Pierce,52.0,3.0,359.0,1345.0,5.0,0.575,2.85,1.0,10.0,0,68.0,33.75,3.375,6.1000000000000005,47.0,32.0,171.0,5.175,0.0,7.0,34.8,59.224999999999994,3.025,24,7.0,0.0,6.0,11.0,0.0,6.0,0.4,1.0,0.0,0.0,0,1.0,16.7,4.0,1.8,1.6,0.9,5.0,3.0,7.0,2.3,0.0,0.0,40.0,60.0,1.4,0.0
Bobby Rainey,61.0,11.0,266.0,1053.0,6.0,1.175,8.825,13.0,10.0,0,48.0,40.95,3.85,4.425,92.0,71.0,530.0,6.4,2.0,24.0,45.925,83.05,5.2,30,4.0,0.0,1.0,2.0,0.0,12.0,1.3,4.5,0.0,1.0,0,0.0,0.0,2.0,2.0,0.5,0.3,7.0,5.0,18.0,3.6,0.0,2.0,14.3,71.4,2.6,775000.0
Bobby Rainey,61.0,11.0,266.0,1053.0,6.0,1.175,8.825,13.0,10.0,0,48.0,40.95,3.85,4.425,92.0,71.0,530.0,6.4,2.0,24.0,45.925,83.05,5.2,30,4.0,0.0,1.0,2.0,0.0,12.0,1.3,4.5,0.0,1.0,0,0.0,0.0,2.0,2.0,0.5,0.3,7.0,5.0,18.0,3.6,0.0,2.0,14.3,71.4,2.6,0.0
Branden Oliver,22.0,8.0,191.0,690.0,3.0,2.1,16.7,0.0,7.0,0,39.0,45.45,3.55,7.65,60.0,49.0,383.0,8.05,1.0,16.0,56.7,83.35,6.75,26,8.0,0.0,35.0,83.0,0.0,11.0,0.8,3.3,0.0,1.0,0,6.0,31.4,26.0,2.4,10.4,4.4,11.0,6.0,26.0,4.3,0.0,2.0,18.2,54.5,2.4,800000.0
Brandon Bolden,67.0,6.0,203.0,845.0,6.0,0.7,5.4799999999999995,0.0,9.0,0,48.0,54.379999999999995,4.0600000000000005,3.2600000000000002,71.0,46.0,366.0,6.74,2.0,16.0,27.2,63.8,4.36,33,17.0,0.0,4.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,50.0,26.0,7.8,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855000.0
