Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Alexander Mattison,59.0,6.0,404.0,1670.0,11.0,1.175,8.9,2.0,15.0,0,92.0,43.275,4.15,6.975,84.0,70.0,526.0,7.75,3.0,22.0,48.4,83.85,6.5,26,14.0,7.0,132.0,420.0,4.0,31.0,2.6,21.0,1.0,4.0,0,25.0,35.6,24.0,3.2,30.0,9.4,48.0,36.0,294.0,8.2,1.0,13.0,35.4,75.0,6.1,3500000.0
Benny Snell Jr.,63.0,5.0,275.0,982.0,7.0,0.25,1.8499999999999999,3.0,8.0,0,53.0,46.85,3.6,4.625,24.0,17.0,114.0,7.2,0.0,4.0,37.5,74.1,5.5,24,17.0,0.0,20.0,90.0,1.0,11.0,0.1,1.0,0.0,1.0,0,6.0,70.0,16.0,4.5,5.3,1.2,2.0,2.0,17.0,8.5,0.0,1.0,50.0,100.0,8.5,1080000.0
Benny Snell Jr.,63.0,5.0,275.0,982.0,7.0,0.25,1.8499999999999999,3.0,8.0,0,53.0,46.85,3.6,4.625,24.0,17.0,114.0,7.2,0.0,4.0,37.5,74.1,5.5,24,17.0,0.0,20.0,90.0,1.0,11.0,0.1,1.0,0.0,1.0,0,6.0,70.0,16.0,4.5,5.3,1.2,2.0,2.0,17.0,8.5,0.0,1.0,50.0,100.0,8.5,0.0
Boston Scott,60.0,12.0,282.0,1209.0,16.0,0.9800000000000001,7.6,7.0,11.0,0,69.0,50.974999999999994,4.25,3.9,84.0,67.0,514.0,6.6,1.0,21.0,39.35,81.575,5.35,28,15.0,0.0,20.0,86.0,0.0,27.0,0.3,3.5,1.0,1.0,0,5.0,50.0,18.0,4.3,5.7,1.3,6.0,4.0,52.0,13.0,0.0,2.0,33.3,66.7,8.7,2000000.0
Caleb Huntley,12.0,0.0,76.0,366.0,1.0,0.2,0.3,1.0,2.0,0,18.0,61.8,4.8,6.3,2.0,2.0,3.0,1.5,0.0,0.0,0.0,100.0,1.5,24,12.0,0.0,76.0,366.0,1.0,2.0,0.2,0.3,1.0,2.0,0,18.0,61.8,30.0,4.8,30.5,6.3,2.0,2.0,3.0,1.5,0.0,0.0,0.0,100.0,1.5,0.0
Chase Edmonds,70.0,18.0,401.0,1796.0,11.0,2.06,15.52,4.0,21.0,0,88.0,45.92,4.38,5.88,188.0,144.0,1078.0,7.720000000000001,6.0,49.0,42.04,74.2,5.58,27,13.0,0.0,49.0,176.0,0.0,14.0,1.1,6.2,0.0,2.0,0,8.0,46.9,21.0,3.6,13.5,3.8,17.0,14.0,81.0,5.8,0.0,5.0,58.8,82.4,4.8,1232500.0
Corey Clement,72.0,1.0,211.0,850.0,8.0,0.65,5.766666666666667,6.0,9.0,0,50.0,47.3,3.9200000000000004,2.6333333333333333,60.0,48.0,423.0,8.32,3.0,22.0,49.5,79.02000000000001,6.38,29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080000.0
Corey Clement,72.0,1.0,211.0,850.0,8.0,0.65,5.766666666666667,6.0,9.0,0,50.0,47.3,3.9200000000000004,2.6333333333333333,60.0,48.0,423.0,8.32,3.0,22.0,49.5,79.02000000000001,6.38,29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080000.0
D'Onta Foreman,43.0,13.0,443.0,1901.0,10.0,0.82,10.459999999999999,6.0,14.0,0,86.0,35.660000000000004,3.44,9.040000000000001,31.0,23.0,265.0,10.34,2.0,13.0,71.47999999999999,82.47999999999999,8.7,28,11.0,3.0,71.0,232.0,0.0,16.0,0.5,4.9,2.0,1.0,0,10.0,39.4,25.0,3.3,21.1,6.5,8.0,6.0,54.0,9.0,0.0,1.0,37.5,75.0,6.8,2000000.0
Dalvin Cook,73.0,72.0,1282.0,5993.0,47.0,3.033333333333333,24.616666666666664,19.0,56.0,0,296.0,48.06666666666666,4.666666666666667,17.583333333333332,287.0,221.0,1794.0,8.0,5.0,86.0,46.03333333333333,75.83333333333333,6.1000000000000005,29,2.0,0.0,8.0,20.0,0.0,10.0,0.5,5.0,0.0,0.0,0,0.0,37.5,4.0,2.5,10.0,4.0,1.0,1.0,10.0,10.0,0.0,1.0,100.0,100.0,10.0,7000000.0
