Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Signed,Years,Value,Total_GTD
Damien Williams,97.0,15.0,334.0,1395.0,14.0,1.6142857142857143,12.757142857142856,5.0,20.0,0,72.0,44.48571428571428,4.0,3.757142857142857,199.0,154.0,1209.0,7.828571428571428,11.0,64.0,47.728571428571435,77.51428571428572,6.042857142857143,31,3.0,0.0,11.0,43.0,0.0,8.0,0.7,4.0,0.0,0.0,0,1.0,54.5,9.0,3.9,14.3,3.7,2.0,2.0,12.0,6.0,0.0,0.0,50.0,100.0,6.0,True,1,"$1,620,000","$500,000"
Damien Williams,97.0,15.0,334.0,1395.0,14.0,1.6142857142857143,12.757142857142856,5.0,20.0,0,72.0,44.48571428571428,4.0,3.757142857142857,199.0,154.0,1209.0,7.828571428571428,11.0,64.0,47.728571428571435,77.51428571428572,6.042857142857143,31,3.0,0.0,11.0,43.0,0.0,8.0,0.7,4.0,0.0,0.0,0,1.0,54.5,9.0,3.9,14.3,3.7,2.0,2.0,12.0,6.0,0.0,0.0,50.0,100.0,6.0,False,0,0,0
Dare Ogunbowale,51.0,4.0,86.0,299.0,3.0,0.74,5.7,2.0,4.0,0,14.0,37.03333333333333,3.0666666666666664,1.1,87.0,58.0,454.0,7.466666666666666,1.0,21.0,33.0,62.666666666666664,4.766666666666667,30,17.0,1.0,30.0,112.0,0.0,31.0,1.1,11.6,0.0,2.0,0,5.0,36.7,35.0,3.7,6.6,1.8,28.0,19.0,198.0,10.4,1.0,8.0,35.7,67.9,7.1,True,2,"$3,000,000","$550,000"
Darrel Williams,51.0,7.0,237.0,912.0,10.0,1.425,13.075,1.0,14.0,0,69.0,53.974999999999994,3.75,4.125,105.0,83.0,762.0,9.025,4.0,33.0,56.625,82.65,7.550000000000001,27,6.0,0.0,21.0,102.0,1.0,6.0,0.7,1.5,0.0,1.0,0,8.0,57.1,30.0,4.9,17.0,3.5,8.0,4.0,9.0,2.3,0.0,0.0,12.5,50.0,1.1,True,1,"$1,187,500","$1,047,500"
Darrell Henderson,40.0,21.0,326.0,1459.0,10.0,1.2666666666666666,9.366666666666667,0.0,11.0,0,89.0,50.53333333333333,4.3,8.200000000000001,70.0,49.0,372.0,8.433333333333334,4.0,17.0,49.46666666666667,68.63333333333334,5.733333333333333,26,4.0,4.0,46.0,112.0,2.0,32.0,2.5,25.8,0.0,2.0,0,5.0,37.0,16.0,2.4,28.0,11.5,14.0,10.0,103.0,10.3,0.0,3.0,28.6,71.4,7.4,False,0,0,0
Darrynton Evans,6.0,0.0,16.0,61.0,0.0,1.2,8.2,0.0,1.0,0,2.0,28.55,3.7,2.4,6.0,4.0,38.0,9.5,1.0,3.0,75.0,75.0,6.15,26,5.0,0.0,3.0,3.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,33.3,4.0,1.0,0.6,0.6,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
David Johnson,87.0,63.0,995.0,4047.0,39.0,3.5,35.77142857142857,18.0,46.0,0,225.0,40.42857142857143,3.757142857142857,11.12857142857143,397.0,273.0,2758.0,10.085714285714285,18.0,132.0,47.68571428571429,69.55714285714285,6.957142857142857,31,5.0,0.0,12.0,24.0,0.0,21.0,0.8,9.4,1.0,0.0,0,0.0,33.3,5.0,2.0,4.8,2.4,4.0,4.0,47.0,11.8,0.0,3.0,100.0,100.0,11.8,False,0,0,0
Derrick Gore,11.0,0.0,51.0,256.0,2.0,0.7,9.5,0.0,3.0,0,12.0,60.8,5.0,4.6,9.0,8.0,105.0,13.1,0.0,3.0,77.8,88.9,11.7,29,6.0,0.0,3.0,26.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,33.3,23.0,8.7,4.3,0.5,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Devine Ozigbo,21.0,0.0,11.0,25.0,0.0,0.5666666666666668,3.2999999999999994,0.0,0.0,0,1.0,14.799999999999999,0.3333333333333333,0.43333333333333335,15.0,13.0,72.0,6.466666666666666,0.0,5.0,68.13333333333334,86.66666666666667,5.433333333333334,27,3.0,0.0,3.0,5.0,0.0,8.0,0.3,2.7,0.0,0.0,0,1.0,66.7,4.0,1.7,1.7,1.0,1.0,1.0,8.0,8.0,0.0,0.0,100.0,100.0,8.0,False,0,0,0
Devonta Freeman,98.0,71.0,1138.0,4720.0,38.0,2.875,21.05,12.0,54.0,0,275.0,45.65,4.125,11.15,375.0,298.0,2263.0,7.275,12.0,98.0,46.075,77.85,5.675,29,16.0,8.0,133.0,576.0,5.0,15.0,2.1,11.9,0.0,4.0,0,31.0,58.6,32.0,4.3,36.0,8.3,42.0,34.0,190.0,5.6,1.0,9.0,42.9,81.0,4.5,False,0,0,0
Devontae Booker,93.0,11.0,527.0,2119.0,11.0,1.7666666666666666,13.450000000000001,8.0,21.0,0,107.0,38.9,4.3,5.683333333333334,209.0,162.0,1224.0,7.666666666666667,2.0,44.0,42.233333333333334,76.48333333333333,5.8,29,16.0,4.0,145.0,593.0,2.0,41.0,2.5,16.8,0.0,5.0,0,31.0,44.1,31.0,4.1,37.1,9.1,45.0,40.0,268.0,6.7,1.0,11.0,51.1,88.9,6.0,False,0,0,0
Dexter Williams,7.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.0,3.1,1.0,0.0,0.0,0.0,,0.0,0.0,,,,23,3.0,0.0,2.0,8.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,4.0,2.7,0.7,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Dontrell Hilliard,40.0,5.0,78.0,447.0,4.0,1.05,6.825,4.0,5.0,0,21.0,53.1,5.133333333333333,2.3,52.0,41.0,286.0,6.5,0.0,15.0,33.65,85.775,5.475,27,12.0,1.0,22.0,145.0,0.0,31.0,1.8,14.8,0.0,2.0,0,4.0,45.5,30.0,6.6,12.1,1.8,26.0,21.0,177.0,8.4,4.0,8.0,38.5,80.8,6.8,True,1,"$1,187,500","$152,500"
Duke Johnson,96.0,21.0,530.0,2261.0,11.0,2.957142857142857,27.428571428571427,12.0,32.0,0,119.0,46.74285714285714,4.328571428571428,6.442857142857142,405.0,311.0,2870.0,9.357142857142858,12.0,134.0,52.82857142857142,77.2,7.2,29,1.0,0.0,2.0,4.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,50.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,True,1,"$1,272,500","$377,500"
Duke Johnson,96.0,21.0,530.0,2261.0,11.0,2.957142857142857,27.428571428571427,12.0,32.0,0,119.0,46.74285714285714,4.328571428571428,6.442857142857142,405.0,311.0,2870.0,9.357142857142858,12.0,134.0,52.82857142857142,77.2,7.2,29,1.0,0.0,2.0,4.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,50.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Dwayne Washington,71.0,2.0,157.0,554.0,1.0,0.23333333333333336,1.55,0.0,4.0,0,21.0,37.53333333333333,4.033333333333334,2.5166666666666666,20.0,15.0,94.0,6.3,0.0,6.0,58.325,91.675,5.775,29,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,True,1,"$1,187,500","$52,500"
Giovani Bernard,127.0,30.0,929.0,3755.0,22.0,2.9000000000000004,23.51111111111111,8.0,48.0,0,188.0,44.422222222222224,4.288888888888889,7.2555555555555555,486.0,365.0,2990.0,7.933333333333333,14.0,126.0,41.22222222222222,75.1,5.944444444444445,31,8.0,0.0,8.0,28.0,0.0,6.0,0.3,-0.1,1.0,0.0,0,0.0,50.0,8.0,3.5,3.5,1.0,2.0,2.0,-1.0,-0.5,0.0,0.0,0.0,100.0,-0.5,True,1,"$1,272,500","$895,000"
Godwin Igwebuike,23.0,1.0,18.0,118.0,1.0,0.2,1.75,2.0,2.0,0,7.0,61.1,6.6,0.55,10.0,7.0,60.0,8.6,0.0,4.0,40.0,70.0,6.0,29,12.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
J.J. Taylor,11.0,0.0,42.0,147.0,2.0,0.5,1.15,1.0,1.0,0,8.0,36.650000000000006,3.3499999999999996,3.8,6.0,5.0,12.0,3.0,0.0,0.0,50.0,75.0,2.0,26,5.0,0.0,10.0,44.0,0.0,,0.4,0.0,0.0,0.0,0,1.0,50.0,9.0,4.4,8.8,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,False,0,0,0
Jalen Richard,87.0,2.0,264.0,1333.0,4.0,2.1333333333333333,17.333333333333332,14.0,21.0,0,56.0,46.166666666666664,4.866666666666667,2.85,236.0,191.0,1590.0,7.8999999999999995,3.0,68.0,48.883333333333326,80.89999999999999,6.366666666666667,28,10.0,0.0,9.0,40.0,0.0,19.0,1.2,7.2,0.0,1.0,0,3.0,44.4,23.0,4.4,4.0,0.9,14.0,12.0,72.0,6.0,0.0,4.0,64.3,85.7,5.1,False,0,0,0
Jeff Wilson,37.0,9.0,298.0,1265.0,13.0,1.05,8.55,6.0,9.0,0,72.0,50.275,4.1,8.25,56.0,35.0,296.0,8.525,4.0,15.0,39.85,68.475,5.5,29,9.0,0.0,16.0,57.0,0.0,7.0,0.3,2.1,0.0,1.0,0,3.0,43.8,14.0,3.6,6.3,1.8,3.0,3.0,19.0,6.3,0.0,0.0,100.0,100.0,6.3,True,1,"$1,085,000","$530,000"
Jeremy McNichols,34.0,0.0,90.0,364.0,1.0,0.5599999999999999,4.1,0.0,5.0,0,15.0,43.26666666666667,3.3666666666666667,1.56,55.0,40.0,295.0,6.6,1.0,11.0,34.45,72.15,4.75,29,17.0,1.0,55.0,261.0,4.0,10.0,0.5,1.6,0.0,2.0,0,15.0,58.2,28.0,4.7,15.4,3.2,12.0,9.0,27.0,3.0,0.0,1.0,25.0,75.0,2.3,False,0,0,0
