Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Signed,Years,Value,Total_GTD
Ahmad Bradshaw,87.0,35.0,962.0,4418.0,34.0,1.6428571428571428,13.0,19.0,41.0,0,230.0,48.5,5.128571428571428,11.200000000000001,182.0,139.0,1129.0,7.942857142857143,3.0,49.0,40.48571428571428,73.32857142857142,5.857142857142857,29,6.0,0.0,31.0,85.0,0.0,10.0,1.7,10.7,0.0,1.0,0,5.0,32.3,23.0,2.7,14.2,5.2,14.0,10.0,64.0,6.4,3.0,5.0,57.1,71.4,4.6,False,0,0,0
Alfonso Smith,43.0,0.0,48.0,156.0,2.0,0.25,1.9,2.0,2.0,0,12.0,51.65,3.2,0.775,21.0,15.0,110.0,8.1,0.0,3.0,36.4,67.86666666666667,5.466666666666666,27,6.0,0.0,7.0,19.0,0.0,5.0,0.5,1.8,0.0,0.0,0,1.0,28.6,12.0,2.7,3.2,1.2,4.0,3.0,11.0,3.7,0.0,0.0,0.0,75.0,2.8,True,1,"$645,000",$0
Andre Brown,22.0,10.0,214.0,876.0,11.0,1.2333333333333334,7.166666666666667,3.0,7.0,0,57.0,37.06666666666667,2.766666666666667,8.4,46.0,32.0,189.0,6.2,0.0,5.0,37.85,69.8,4.35,27,8.0,8.0,139.0,492.0,3.0,14.0,2.5,12.9,3.0,3.0,0,31.0,48.2,23.0,3.5,61.5,17.4,29.0,20.0,103.0,5.2,0.0,3.0,34.5,69.0,3.6,True,1,"$645,000",$0
Andre Brown,22.0,10.0,214.0,876.0,11.0,1.2333333333333334,7.166666666666667,3.0,7.0,0,57.0,37.06666666666667,2.766666666666667,8.4,46.0,32.0,189.0,6.2,0.0,5.0,37.85,69.8,4.35,27,8.0,8.0,139.0,492.0,3.0,14.0,2.5,12.9,3.0,3.0,0,31.0,48.2,23.0,3.5,61.5,17.4,29.0,20.0,103.0,5.2,0.0,3.0,34.5,69.0,3.6,False,0,0,0
Anthony Allen,21.0,0.0,19.0,69.0,1.0,0.05,0.4,0.0,1.0,0,4.0,21.9,3.25,0.8,4.0,2.0,12.0,6.0,0.0,1.0,25.0,50.0,3.0,24,16.0,0.0,16.0,61.0,1.0,7.0,0.1,0.8,0.0,1.0,0,4.0,43.8,20.0,3.8,3.8,1.0,4.0,2.0,12.0,6.0,0.0,1.0,25.0,50.0,3.0,False,0,0,0
Anthony Dixon,64.0,1.0,148.0,458.0,8.0,0.15,0.75,0.0,3.0,0,26.0,46.0,3.025,2.325,9.0,9.0,47.0,6.066666666666666,0.0,2.0,35.56666666666667,100.0,6.066666666666666,28,16.0,1.0,21.0,44.0,1.0,14.0,0.4,2.8,0.0,1.0,0,5.0,28.6,6.0,2.1,2.8,1.3,7.0,6.0,44.0,7.3,0.0,1.0,42.9,85.7,6.3,True,3,"$3,600,000","$750,000"
Ben Tate,40.0,9.0,421.0,1992.0,10.0,1.4333333333333333,7.0,10.0,13.0,0,108.0,49.73333333333333,4.666666666666667,10.166666666666666,79.0,58.0,287.0,5.366666666666667,0.0,8.0,44.166666666666664,79.26666666666667,4.2,26,11.0,6.0,119.0,371.0,4.0,23.0,0.8,5.5,0.0,2.0,0,18.0,34.5,25.0,3.1,33.7,10.8,12.0,9.0,60.0,6.7,0.0,3.0,25.0,75.0,5.0,True,2,"$6,200,000","$2,500,000"
BenJarvus Green-Ellis,84.0,51.0,1008.0,3914.0,42.0,0.6166666666666666,4.75,5.0,33.0,0,240.0,51.76666666666667,3.9166666666666665,11.383333333333333,78.0,52.0,418.0,8.8,0.0,19.0,40.53333333333333,59.583333333333336,5.366666666666666,28,16.0,16.0,220.0,756.0,7.0,10.0,0.3,1.4,2.0,4.0,0,49.0,47.3,25.0,3.4,47.3,13.8,8.0,4.0,22.0,5.5,0.0,1.0,12.5,50.0,2.8,False,0,0,0
Bernard Scott,49.0,3.0,259.0,1049.0,4.0,0.58,3.28,2.0,9.0,0,54.0,34.92,4.1,4.5,40.0,31.0,175.0,6.7,0.0,7.0,27.225,80.9,5.05,29,2.0,0.0,4.0,14.0,0.0,8.0,1.0,5.0,0.0,0.0,0,0.0,0.0,9.0,3.5,7.0,2.0,2.0,2.0,10.0,5.0,0.0,0.0,0.0,100.0,5.0,False,0,0,0
Chris Johnson,95.0,93.0,1742.0,7965.0,50.0,2.8833333333333333,21.033333333333335,18.0,68.0,0,341.0,41.61666666666667,4.533333333333333,18.333333333333332,370.0,272.0,2003.0,7.266666666666666,8.0,70.0,36.36666666666667,73.91666666666667,5.366666666666667,32,4.0,3.0,45.0,114.0,0.0,15.0,1.3,10.8,0.0,1.0,0,5.0,31.1,11.0,2.5,28.5,11.3,6.0,5.0,43.0,8.6,0.0,3.0,83.3,83.3,7.2,True,2,"$8,000,000","$4,000,000"
