Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Signed,Years,Value,Total_GTD
Chris Rainey,18.0,0.0,26.0,102.0,2.0,0.45,1.9,6.0,1.0,0,5.0,50.0,3.9,0.8,23.0,14.0,60.0,4.3,0.0,1.0,15.9,31.8,1.35,25,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0,0.0,,,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0,0,0
Cierre Wood,5.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,,24,2.0,0.0,2.0,3.0,0.0,-6.0,0.5,-3.0,0.0,0.0,0,0.0,0.0,3.0,1.5,1.5,1.0,1.0,1.0,-6.0,-6.0,0.0,0.0,0.0,100.0,-6.0,False,0,0,0
Darren McFadden,67.0,51.0,883.0,3713.0,23.0,2.5833333333333335,22.599999999999998,16.0,33.0,0,160.0,37.300000000000004,4.166666666666667,13.35,247.0,175.0,1557.0,8.816666666666666,5.0,68.0,44.31666666666666,71.16666666666667,6.25,30,1.0,0.0,1.0,-2.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,True,1,"$1,750,000","$100,000"
Daryl Richardson,24.0,3.0,167.0,690.0,0.0,1.65,12.649999999999999,3.0,7.0,0,34.0,42.45,3.95,7.35,54.0,38.0,284.0,7.699999999999999,0.0,10.0,30.549999999999997,72.25,5.6,26,3.0,0.0,2.0,7.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,50.0,6.0,3.5,2.3,0.7,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Deji Karim,33.0,0.0,110.0,341.0,0.0,0.4,2.7,5.0,4.0,0,21.0,45.166666666666664,3.6666666666666665,2.55,28.0,18.0,129.0,3.6333333333333333,0.0,5.0,11.800000000000002,55.53333333333334,2.4,27,7.0,0.0,12.0,51.0,0.0,-1.0,0.1,-0.1,0.0,0.0,0,3.0,58.3,14.0,4.3,7.3,1.7,2.0,1.0,-1.0,-1.0,0.0,0.0,0.0,50.0,-0.5,True,1,"$730,000",$0
Deji Karim,33.0,0.0,110.0,341.0,0.0,0.4,2.7,5.0,4.0,0,21.0,45.166666666666664,3.6666666666666665,2.55,28.0,18.0,129.0,3.6333333333333333,0.0,5.0,11.800000000000002,55.53333333333334,2.4,27,7.0,0.0,12.0,51.0,0.0,-1.0,0.1,-0.1,0.0,0.0,0,3.0,58.3,14.0,4.3,7.3,1.7,2.0,1.0,-1.0,-1.0,0.0,0.0,0.0,50.0,-0.5,False,0,0,0
Delone Carter,27.0,3.0,133.0,499.0,5.0,0.13333333333333333,0.8000000000000002,4.0,3.0,0,29.0,52.45,3.75,3.1666666666666665,10.0,6.0,31.0,8.3,0.0,1.0,31.25,56.25,4.4,26,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Dennis Johnson,29.0,2.0,107.0,410.0,2.0,0.4,2.75,2.0,4.0,0,8.0,42.9,3.1333333333333333,2.625,12.0,18.0,129.0,7.050000000000001,0.0,2.0,33.3,66.7,3.8,23,8.0,1.0,49.0,183.0,0.0,14.0,1.0,5.8,0.0,1.0,0,8.0,42.9,29.0,3.7,22.9,6.1,12.0,8.0,46.0,5.8,0.0,2.0,33.3,66.7,3.8,False,0,0,0
Dion Lewis,24.0,0.0,36.0,171.0,2.0,0.15000000000000002,1.25,1.0,2.0,0,11.0,48.65,4.85,1.45,3.0,3.0,21.0,4.5,0.0,1.0,25.0,100.0,4.5,30,16.0,0.0,29.0,115.0,2.0,17.0,1.2,7.9,3.0,2.0,0,8.0,37.9,19.0,4.0,7.2,1.8,30.0,19.0,127.0,6.7,1.0,8.0,36.7,63.3,4.2,True,0,$0,$0
Donald Brown,66.0,20.0,551.0,2377.0,17.0,1.22,11.860000000000001,1.0,23.0,0,112.0,43.96,4.3,8.52,109.0,83.0,767.0,9.860000000000001,2.0,31.0,49.56,76.1,7.44,28,10.0,2.0,59.0,229.0,1.0,31.0,0.8,8.8,1.0,2.0,0,12.0,35.6,53.0,3.9,22.9,5.9,13.0,8.0,88.0,11.0,0.0,2.0,46.2,61.5,6.8,True,3,"$10,500,000","$4,000,000"
Edwin Baker,3.0,2.0,43.0,171.0,2.0,2.7,19.0,0.0,1.0,0,11.0,53.5,4.0,14.3,9.0,8.0,57.0,7.1,0.0,3.0,66.7,88.9,6.3,23,3.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,0.0,0,1.0,100.0,2.0,2.0,0.7,0.3,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Evan Royster,32.0,2.0,81.0,416.0,2.0,0.8333333333333334,6.133333333333334,0.0,4.0,0,25.0,34.733333333333334,3.233333333333333,3.6333333333333333,38.0,25.0,180.0,5.966666666666666,0.0,7.0,26.266666666666666,76.5,4.2,26,10.0,0.0,2.0,0.0,0.0,3.0,0.1,0.3,0.0,0.0,0,0.0,0.0,,0.0,0.0,0.2,1.0,1.0,3.0,3.0,0.0,0.0,0.0,100.0,3.0,False,0,0,0
Felix Jones,80.0,25.0,617.0,2912.0,11.0,1.6166666666666665,12.833333333333334,13.0,30.0,0,140.0,50.21666666666667,5.166666666666667,7.566666666666666,170.0,136.0,1125.0,7.483333333333333,3.0,41.0,50.81666666666666,81.76666666666667,6.016666666666667,26,16.0,2.0,48.0,184.0,0.0,15.0,0.6,3.9,1.0,2.0,0,9.0,37.5,14.0,3.8,11.5,3.0,13.0,9.0,63.0,7.0,0.0,2.0,53.8,69.2,4.8,False,0,0,0
Fozzy Whittaker,14.0,2.0,28.0,79.0,0.0,1.5,11.1,1.0,1.0,0,3.0,42.9,2.8,2.0,36.0,21.0,155.0,7.4,2.0,6.0,41.7,58.3,4.3,28,12.0,0.0,7.0,18.0,0.0,28.0,0.4,3.9,0.0,1.0,0,2.0,57.1,8.0,2.6,1.5,0.6,6.0,5.0,47.0,9.4,1.0,1.0,66.7,83.3,7.8,True,1,"$495,000",$0
Jalen Parmele,35.0,2.0,47.0,187.0,0.0,0.15,1.375,1.0,1.0,0,10.0,27.5,6.833333333333333,1.575,9.0,7.0,60.0,8.6,0.0,2.0,55.6,77.8,6.7,29,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
James Starks,35.0,5.0,322.0,1427.0,5.0,1.1,8.4,4.0,15.0,0,76.0,47.875,4.225,9.625,60.0,45.0,351.0,7.9,1.0,13.0,46.275,68.0,5.4,30,9.0,4.0,63.0,145.0,0.0,31.0,2.1,14.9,1.0,2.0,0,9.0,30.2,11.0,2.3,16.1,7.0,25.0,19.0,134.0,7.1,2.0,5.0,36.0,76.0,5.4,True,2,"$3,250,000","$725,000"
Johnathan Franklin,11.0,0.0,19.0,107.0,1.0,0.4,2.7,2.0,1.0,0,7.0,52.6,5.6,1.7,5.0,4.0,30.0,7.5,0.0,2.0,80.0,80.0,6.0,24,11.0,0.0,19.0,107.0,1.0,10.0,0.4,2.7,2.0,1.0,0,7.0,52.6,51.0,5.6,9.7,1.7,5.0,4.0,30.0,7.5,0.0,2.0,80.0,80.0,6.0,False,0,0,0
Jonathan Dwyer,36.0,6.0,230.0,971.0,2.0,0.5,3.3499999999999996,2.0,8.0,0,47.0,30.525,4.7,6.65,37.0,27.0,176.0,6.633333333333333,0.0,10.0,29.833333333333332,81.56666666666666,5.333333333333333,25,2.0,0.0,16.0,51.0,1.0,5.0,1.0,4.0,0.0,0.0,0,3.0,25.0,20.0,3.2,25.5,8.0,3.0,2.0,8.0,4.0,0.0,0.0,0.0,66.7,2.7,True,1,"$795,000","$65,000"
Josh Vaughan,16.0,0.0,11.0,32.0,1.0,0.06666666666666667,-0.26666666666666666,0.0,0.0,0,1.0,22.233333333333334,2.233333333333333,0.7333333333333334,1.0,1.0,-5.0,-5.0,0.0,0.0,0.0,100.0,-5.0,27,6.0,0.0,1.0,1.0,0.0,-5.0,0.2,-0.8,0.0,0.0,0,0.0,0.0,1.0,1.0,0.2,0.2,1.0,1.0,-5.0,-5.0,0.0,0.0,0.0,100.0,-5.0,False,0,0,0
Justin Forsett,87.0,7.0,347.0,1692.0,8.0,1.3333333333333333,9.533333333333333,5.0,17.0,0,74.0,37.36,4.82,3.6666666666666665,163.0,115.0,850.0,7.9799999999999995,1.0,36.0,40.3,71.6,5.5,31,9.0,6.0,87.0,291.0,1.0,11.0,2.2,9.4,2.0,2.0,0,10.0,32.2,64.0,3.3,32.3,9.7,27.0,20.0,85.0,4.3,0.0,4.0,48.1,74.1,3.1,True,1,"$730,000",$0
Kahlil Bell,30.0,3.0,148.0,633.0,0.0,0.47500000000000003,3.175,4.0,5.0,0,28.0,40.199999999999996,4.133333333333334,3.9749999999999996,28.0,22.0,150.0,5.833333333333333,1.0,5.0,31.166666666666668,71.96666666666665,4.533333333333333,27,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Knowshon Moreno,60.0,45.0,845.0,3468.0,26.0,2.52,22.3,10.0,34.0,0,181.0,45.06,4.2,13.419999999999998,204.0,157.0,1401.0,8.8,9.0,67.0,48.96,76.11999999999999,6.7,27,3.0,0.0,31.0,148.0,1.0,8.0,0.3,2.7,0.0,1.0,0,8.0,64.5,15.0,4.8,49.3,10.3,1.0,1.0,8.0,8.0,0.0,0.0,100.0,100.0,8.0,True,1,"$3,000,000","$1,250,000"
LaRod Stephens-Howling,58.0,10.0,188.0,670.0,5.0,1.1800000000000002,9.8,1.0,10.0,0,25.0,27.339999999999996,3.54,3.84,91.0,58.0,545.0,8.98,3.0,23.0,32.42,65.02000000000001,6.08,26,1.0,0.0,6.0,19.0,0.0,7.0,2.0,11.0,0.0,0.0,0,0.0,0.0,5.0,3.2,19.0,6.0,3.0,2.0,11.0,5.5,0.0,0.0,0.0,66.7,3.7,False,0,0,0
LeGarrette Blount,56.0,28.0,579.0,2711.0,20.0,0.425,3.5749999999999997,12.0,18.0,0,114.0,44.725,4.475,10.35,39.0,23.0,202.0,8.425,0.0,7.0,23.575,55.35,4.125,32,16.0,8.0,154.0,418.0,5.0,23.0,0.6,4.2,2.0,3.0,0,25.0,35.1,27.0,2.7,26.1,9.6,15.0,10.0,67.0,6.7,0.0,4.0,40.0,66.7,4.5,True,2,"$3,850,000","$950,000"
Lex Hilliard,62.0,13.0,48.0,163.0,2.0,0.5,3.7,0.0,3.0,0,19.0,62.53333333333333,3.4,0.75,38.0,30.0,233.0,6.625,2.0,10.0,34.05,66.45,4.75,28,14.0,9.0,9.0,33.0,0.0,9.0,0.3,1.6,0.0,0.0,0,5.0,77.8,9.0,3.7,2.4,0.6,9.0,4.0,23.0,5.8,0.0,2.0,33.3,44.4,2.6,False,0,0,0
Maurice Jones-Drew,114.0,70.0,1804.0,8071.0,68.0,2.8875,24.2875,22.0,85.0,0,428.0,46.1375,4.5375,15.75,449.0,335.0,2873.0,8.4125,11.0,130.0,46.3375,74.775,6.275,29,12.0,1.0,43.0,96.0,0.0,12.0,0.9,5.9,1.0,1.0,0,2.0,23.3,13.0,2.2,8.0,3.6,16.0,11.0,71.0,6.5,0.0,3.0,43.8,68.8,4.4,True,3,"$7,500,000","$1,200,000"
Michael Bush,89.0,20.0,809.0,3250.0,29.0,1.1666666666666667,11.166666666666666,5.0,28.0,0,163.0,41.63333333333333,3.966666666666667,9.05,139.0,104.0,1010.0,9.666666666666666,2.0,42.0,53.78333333333333,73.05,6.8999999999999995,29,15.0,0.0,63.0,197.0,3.0,17.0,0.3,3.2,0.0,2.0,0,10.0,33.3,40.0,3.1,13.1,4.2,8.0,4.0,48.0,12.0,1.0,2.0,50.0,50.0,6.0,False,0,0,0
Michael Bush,89.0,20.0,809.0,3250.0,29.0,1.1666666666666667,11.166666666666666,5.0,28.0,0,163.0,41.63333333333333,3.966666666666667,9.05,139.0,104.0,1010.0,9.666666666666666,2.0,42.0,53.78333333333333,73.05,6.8999999999999995,29,15.0,0.0,63.0,197.0,3.0,17.0,0.3,3.2,0.0,2.0,0,10.0,33.3,40.0,3.1,13.1,4.2,8.0,4.0,48.0,12.0,1.0,2.0,50.0,50.0,6.0,False,0,0,0
Michael Hill,8.0,0.0,9.0,23.0,0.0,0.3,2.9,0.0,0.0,0,1.0,11.1,2.6,1.1,2.0,2.0,23.0,11.5,0.0,1.0,50.0,100.0,11.5,25,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Mike Goodson,42.0,3.0,167.0,783.0,3.0,1.08,9.62,7.0,7.0,0,29.0,38.474999999999994,5.4,3.12,81.0,61.0,543.0,8.2,1.0,27.0,45.7,74.03999999999999,6.540000000000001,26,2.0,0.0,7.0,61.0,0.0,10.0,1.0,9.5,0.0,0.0,0,2.0,42.9,26.0,8.7,30.5,3.5,3.0,2.0,19.0,9.5,0.0,2.0,66.7,66.7,6.3,False,0,0,0
Mikel Leshoure,17.0,14.0,217.0,807.0,9.0,1.2,7.65,3.0,5.0,0,47.0,22.8,4.1,8.05,49.0,34.0,214.0,6.3,0.0,12.0,40.8,69.4,4.4,23,3.0,0.0,2.0,9.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,4.5,3.0,0.7,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Phillip Tanner,39.0,0.0,56.0,149.0,2.0,0.2333333333333333,2.3666666666666667,1.0,2.0,0,11.0,38.266666666666666,2.4,1.5999999999999999,11.0,9.0,93.0,10.266666666666667,0.0,6.0,78.33333333333333,85.0,8.666666666666666,26,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,True,1,"$645,000",$0
Phillip Tanner,39.0,0.0,56.0,149.0,2.0,0.2333333333333333,2.3666666666666667,1.0,2.0,0,11.0,38.266666666666666,2.4,1.5999999999999999,11.0,9.0,93.0,10.266666666666667,0.0,6.0,78.33333333333333,85.0,8.666666666666666,26,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,True,0,$0,$0
Rashad Jennings,53.0,17.0,387.0,1677.0,13.0,1.85,14.1,3.0,16.0,0,83.0,45.35,4.5,7.525,127.0,97.0,746.0,7.45,0.0,29.0,40.125,77.825,5.775,31,13.0,12.0,181.0,593.0,3.0,24.0,2.7,15.5,1.0,5.0,0,29.0,36.5,25.0,3.3,45.6,13.9,42.0,35.0,201.0,5.7,1.0,8.0,35.7,83.3,4.8,True,4,"$10,000,000","$2,980,000"
Rashard Mendenhall,72.0,63.0,1081.0,4236.0,37.0,1.2333333333333334,10.083333333333334,13.0,31.0,0,214.0,41.46666666666667,3.75,13.066666666666668,128.0,95.0,795.0,8.183333333333334,2.0,34.0,46.4,75.39999999999999,6.1499999999999995,26,15.0,15.0,217.0,687.0,8.0,24.0,1.2,8.9,4.0,3.0,0,45.0,40.6,28.0,3.2,45.8,14.5,21.0,18.0,134.0,7.4,0.0,5.0,52.4,85.7,6.4,False,0,0,0
Ray Graham,1.0,0.0,4.0,8.0,0.0,1.0,12.0,0.0,0.0,0,0.0,25.0,2.0,4.0,3.0,1.0,12.0,12.0,0.0,1.0,33.3,33.3,4.0,23,1.0,0.0,4.0,8.0,0.0,12.0,1.0,12.0,0.0,0.0,0,0.0,25.0,4.0,2.0,8.0,4.0,3.0,1.0,12.0,12.0,0.0,1.0,33.3,33.3,4.0,False,0,0,0
Ronnie Brown,122.0,74.0,1261.0,5328.0,38.0,2.2222222222222223,18.27777777777778,14.0,47.0,0,285.0,44.67777777777778,4.177777777777778,11.133333333333333,306.0,241.0,1922.0,7.85,2.0,90.0,45.02222222222222,71.80000000000001,5.655555555555555,33,10.0,0.0,20.0,63.0,0.0,24.0,0.5,4.4,0.0,1.0,0,5.0,50.0,11.0,3.2,6.3,2.0,8.0,5.0,44.0,8.8,0.0,1.0,37.5,62.5,5.5,True,0,$0,$0
Ryan Williams,5.0,3.0,58.0,164.0,0.0,1.4,8.8,2.0,1.0,0,8.0,32.8,2.8,11.6,10.0,7.0,44.0,6.3,0.0,3.0,30.0,70.0,4.4,22,5.0,3.0,58.0,164.0,0.0,12.0,1.4,8.8,2.0,1.0,0,8.0,32.8,25.0,2.8,32.8,11.6,10.0,7.0,44.0,6.3,0.0,3.0,30.0,70.0,4.4,True,1,"$730,000",$0
Tashard Choice,88.0,4.0,372.0,1579.0,10.0,0.9,6.333333333333333,4.0,14.0,0,84.0,43.75,4.133333333333334,4.216666666666667,122.0,81.0,574.0,5.966666666666668,0.0,21.0,28.433333333333334,63.13333333333333,4.0,29,15.0,0.0,46.0,170.0,0.0,5.0,0.3,1.0,0.0,1.0,0,8.0,47.8,20.0,3.7,11.3,3.1,9.0,5.0,15.0,3.0,0.0,1.0,22.2,55.6,1.7,False,0,0,0
Toby Gerhart,61.0,6.0,276.0,1305.0,5.0,1.25,9.75,7.0,14.0,0,64.0,44.225,5.050000000000001,4.475,103.0,77.0,600.0,7.725,3.0,24.0,44.85,74.25,5.725,28,7.0,1.0,20.0,44.0,0.0,8.0,0.4,3.3,0.0,0.0,0,3.0,35.0,6.0,2.2,6.3,2.9,5.0,3.0,23.0,7.7,0.0,1.0,40.0,60.0,4.6,True,3,"$10,500,000","$4,000,000"
William Powell,13.0,1.0,60.0,217.0,0.0,1.5,10.2,2.0,2.0,0,10.0,40.0,3.6,4.6,25.0,19.0,132.0,6.9,0.0,7.0,36.0,76.0,5.3,24,13.0,1.0,60.0,217.0,0.0,25.0,1.5,10.2,2.0,2.0,0,10.0,40.0,17.0,3.6,16.7,4.6,25.0,19.0,132.0,6.9,0.0,7.0,36.0,76.0,5.3,False,0,0,0
Willis McGahee,142.0,95.0,2095.0,8474.0,65.0,1.51,9.77,29.0,67.0,0,454.0,46.39,4.029999999999999,14.76,285.0,210.0,1339.0,6.029999999999999,5.0,60.0,36.39,72.6,4.34,32,12.0,6.0,138.0,377.0,2.0,9.0,0.7,1.7,1.0,2.0,0,31.0,43.5,16.0,2.7,31.4,11.5,11.0,8.0,20.0,2.5,0.0,0.0,18.2,72.7,1.8,False,0,0,0
