Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Chris Polk,36.0,0.0,57.0,270.0,7.0,0.13333333333333333,1.7333333333333332,1.0,3.0,0,17.0,56.8,6.300000000000001,1.3333333333333333,8.0,6.0,77.0,11.65,0.0,2.0,46.65,73.35,8.75,26,15.0,2.0,99.0,334.0,1.0,12.0,1.1,7.3,0.0,3.0,0,13.0,33.3,20.0,3.4,22.3,6.6,28.0,16.0,109.0,6.8,1.0,5.0,35.7,57.1,3.9,760000.0
Dan Herron,25.0,3.0,87.0,389.0,1.0,0.5,6.766666666666667,2.0,5.0,0,19.0,43.333333333333336,4.133333333333333,2.3333333333333335,28.0,22.0,230.0,32.6,0.0,8.0,50.0,60.26666666666667,21.233333333333334,26,10.0,0.0,25.0,79.0,0.0,9.0,0.9,4.7,1.0,0.0,0,4.0,52.0,8.0,3.2,7.9,2.5,10.0,9.0,47.0,5.2,0.0,1.0,50.0,90.0,4.7,0.0
Daniel Thomas,52.0,3.0,409.0,1480.0,10.0,1.075,8.2,6.0,12.0,0,65.0,47.95,3.65,7.824999999999999,74.0,55.0,412.0,7.4750000000000005,3.0,24.0,41.125,74.95,5.425,27,12.0,0.0,44.0,168.0,2.0,25.0,1.1,10.1,1.0,2.0,0,8.0,54.5,15.0,3.8,14.0,3.7,19.0,13.0,121.0,9.3,0.0,8.0,47.4,68.4,6.4,745000.0
Daniel Thomas,52.0,3.0,409.0,1480.0,10.0,1.075,8.2,6.0,12.0,0,65.0,47.95,3.65,7.824999999999999,74.0,55.0,412.0,7.4750000000000005,3.0,24.0,41.125,74.95,5.425,27,12.0,0.0,44.0,168.0,2.0,25.0,1.1,10.1,1.0,2.0,0,8.0,54.5,15.0,3.8,14.0,3.7,19.0,13.0,121.0,9.3,0.0,8.0,47.4,68.4,6.4,0.0
Darren McFadden,83.0,63.0,1038.0,4247.0,25.0,2.542857142857143,21.271428571428572,17.0,37.0,0,181.0,37.771428571428565,4.057142857142857,12.828571428571427,303.0,211.0,1769.0,8.4,5.0,76.0,42.82857142857143,70.18571428571428,5.8999999999999995,30,1.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0
Darrin Reaves,6.0,1.0,31.0,78.0,0.0,0.8,5.2,0.0,1.0,0,3.0,35.5,2.5,5.2,8.0,5.0,31.0,6.2,0.0,1.0,37.5,62.5,3.9,21,6.0,1.0,31.0,78.0,0.0,16.0,0.8,5.2,0.0,1.0,0,3.0,35.5,9.0,2.5,13.0,5.2,8.0,5.0,31.0,6.2,0.0,1.0,37.5,62.5,3.9,510000.0
Darrin Reaves,6.0,1.0,31.0,78.0,0.0,0.8,5.2,0.0,1.0,0,3.0,35.5,2.5,5.2,8.0,5.0,31.0,6.2,0.0,1.0,37.5,62.5,3.9,21,6.0,1.0,31.0,78.0,0.0,16.0,0.8,5.2,0.0,1.0,0,3.0,35.5,9.0,2.5,13.0,5.2,8.0,5.0,31.0,6.2,0.0,1.0,37.5,62.5,3.9,0.0
David Wilson,21.0,6.0,115.0,504.0,5.0,0.35,1.85,3.0,5.0,0,27.0,41.75,4.15,6.6000000000000005,15.0,6.0,42.0,6.25,1.0,2.0,25.0,38.849999999999994,2.55,22,5.0,4.0,44.0,146.0,1.0,6.0,0.4,1.6,2.0,1.0,0,10.0,45.5,18.0,3.3,29.2,8.8,6.0,2.0,8.0,4.0,0.0,0.0,16.7,33.3,1.3,0.0
DeAngelo Williams,117.0,82.0,1432.0,6846.0,46.0,1.511111111111111,13.533333333333333,12.0,61.0,0,299.0,41.766666666666666,4.588888888888889,12.3,245.0,178.0,1621.0,9.022222222222222,7.0,65.0,47.144444444444446,73.92222222222222,6.611111111111111,33,9.0,4.0,98.0,343.0,4.0,20.0,2.0,13.1,0.0,3.0,0,22.0,43.9,17.0,3.5,38.1,10.9,27.0,18.0,118.0,6.6,2.0,6.0,40.7,66.7,4.4,2000000.0
DeMarco Murray,53.0,47.0,934.0,4526.0,28.0,3.225,22.55,12.0,43.0,0,235.0,53.7,4.875,17.175,207.0,171.0,1200.0,7.025,1.0,55.0,53.6,81.75,5.75,29,15.0,15.0,184.0,659.0,6.0,18.0,2.6,17.7,1.0,7.0,0,33.0,37.0,75.0,3.6,43.9,12.3,47.0,39.0,266.0,6.8,1.0,11.0,44.7,83.0,5.7,8000000.0
