Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Ahmad Bradshaw,84.0,33.0,921.0,4232.0,32.0,1.5333333333333332,12.833333333333334,19.0,39.0,0,219.0,48.050000000000004,5.233333333333333,10.783333333333333,174.0,132.0,1087.0,8.266666666666667,3.0,46.0,38.9,70.96666666666667,5.95,29,6.0,0.0,31.0,85.0,0.0,10.0,1.7,10.7,0.0,1.0,0,5.0,32.3,23.0,2.7,14.2,5.2,14.0,10.0,64.0,6.4,3.0,5.0,57.1,71.4,4.6,2000000.0
Anthony Allen,21.0,0.0,19.0,69.0,1.0,0.05,0.4,0.0,1.0,0,4.0,21.9,3.25,0.8,4.0,2.0,12.0,6.0,0.0,1.0,25.0,50.0,3.0,24,16.0,0.0,16.0,61.0,1.0,7.0,0.1,0.8,0.0,1.0,0,4.0,43.8,20.0,3.8,3.8,1.0,4.0,2.0,12.0,6.0,0.0,1.0,25.0,50.0,3.0,555000.0
Armando Allen,17.0,0.0,42.0,172.0,1.0,0.05,0.55,0.0,1.0,0,9.0,37.0,3.9,4.65,4.0,2.0,16.0,8.0,0.0,0.0,16.65,33.35,2.65,23,15.0,0.0,27.0,124.0,1.0,15.0,0.1,1.1,0.0,1.0,0,6.0,40.7,46.0,4.6,8.3,1.8,3.0,2.0,16.0,8.0,0.0,0.0,33.3,66.7,5.3,0.0
Armond Smith,7.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.35,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,1.3,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baron Batch,12.0,0.0,25.0,49.0,1.0,0.3,2.6,0.0,1.0,0,4.0,24.0,2.0,2.1,5.0,4.0,31.0,7.8,0.0,3.0,60.0,80.0,6.2,25,12.0,0.0,25.0,49.0,1.0,15.0,0.3,2.6,0.0,1.0,0,4.0,24.0,10.0,2.0,4.1,2.1,5.0,4.0,31.0,7.8,0.0,3.0,60.0,80.0,6.2,0.0
Beanie Wells,51.0,23.0,625.0,2471.0,24.0,0.5,5.325,10.0,15.0,0,116.0,44.625,3.7249999999999996,12.1,41.0,28.0,293.0,13.975000000000001,0.0,10.0,64.075,75.0,11.375,24,8.0,7.0,88.0,234.0,5.0,24.0,0.1,3.0,1.0,1.0,0,11.0,34.1,31.0,2.7,29.3,11.0,1.0,1.0,24.0,24.0,0.0,1.0,100.0,100.0,24.0,0.0
Bernard Scott,47.0,3.0,255.0,1035.0,4.0,0.475,2.85,2.0,9.0,0,54.0,43.65,4.25,5.125,38.0,29.0,165.0,7.266666666666667,0.0,7.0,36.300000000000004,74.53333333333333,5.066666666666666,29,2.0,0.0,4.0,14.0,0.0,8.0,1.0,5.0,0.0,0.0,0,0.0,0.0,9.0,3.5,7.0,2.0,2.0,2.0,10.0,5.0,0.0,0.0,0.0,100.0,5.0,0.0
Brandon Jackson,54.0,16.0,355.0,1383.0,7.0,1.86,14.6,3.0,17.0,0,61.0,43.92,4.5200000000000005,5.86,141.0,112.0,864.0,8.24,2.0,43.0,46.3,73.28,5.92,27,2.0,0.0,8.0,54.0,0.0,14.0,1.0,10.0,0.0,0.0,0,2.0,50.0,25.0,6.8,27.0,4.0,4.0,2.0,20.0,10.0,0.0,2.0,50.0,50.0,5.0,715000.0
Brandon Jacobs,102.0,48.0,1083.0,4856.0,56.0,0.75,6.7,18.0,40.0,0,276.0,48.075,3.9375,10.1875,131.0,80.0,730.0,9.033333333333333,4.0,23.0,37.416666666666664,61.03333333333333,5.7,31,7.0,1.0,58.0,238.0,4.0,8.0,0.3,1.9,1.0,1.0,0,16.0,44.8,37.0,4.1,34.0,8.3,7.0,2.0,13.0,6.5,0.0,0.0,28.6,28.6,1.9,840000.0
Cedric Benson,96.0,71.0,1600.0,6017.0,32.0,1.3375,9.375,20.0,41.0,0,294.0,42.275,3.775,16.15,162.0,120.0,833.0,6.45,1.0,36.0,42.3125,78.4875,4.9625,30,5.0,5.0,71.0,248.0,1.0,18.0,2.8,19.4,1.0,3.0,0,10.0,49.3,11.0,3.5,49.6,14.2,15.0,14.0,97.0,6.9,0.0,5.0,73.3,93.3,6.5,0.0
