Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Signed,Years,Value,Total_GTD
Armond Smith,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.7,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,27,5.0,0.0,4.0,5.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,1.3,1.0,0.8,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
BenJarvus Green-Ellis,53.0,20.0,510.0,2064.0,29.0,0.475,5.05,0.0,21.0,0,136.0,54.325,4.050000000000001,9.0,40.0,26.0,292.0,10.65,0.0,14.0,48.5,58.55,6.475,28,16.0,16.0,220.0,756.0,7.0,10.0,0.3,1.4,2.0,4.0,0,49.0,47.3,25.0,3.4,47.3,13.8,8.0,4.0,22.0,5.5,0.0,1.0,12.5,50.0,2.8,True,3,"$9,000,000",$0
Brandon Jacobs,100.0,48.0,1078.0,4849.0,56.0,0.8571428571428571,7.6571428571428575,18.0,40.0,0,275.0,52.08571428571429,4.3,11.285714285714286,131.0,80.0,730.0,9.033333333333333,4.0,23.0,37.416666666666664,61.03333333333333,5.7,31,7.0,1.0,58.0,238.0,4.0,8.0,0.3,1.9,1.0,1.0,0,16.0,44.8,37.0,4.1,34.0,8.3,7.0,2.0,13.0,6.5,0.0,0.0,28.6,28.6,1.9,True,1,"$1,575,000",$0
Cedric Benson,91.0,66.0,1529.0,5769.0,31.0,1.1285714285714286,7.942857142857143,19.0,38.0,0,284.0,41.271428571428565,3.814285714285714,16.428571428571427,147.0,106.0,736.0,6.385714285714286,1.0,31.0,37.885714285714286,76.37142857142858,4.742857142857143,30,5.0,5.0,71.0,248.0,1.0,18.0,2.8,19.4,1.0,3.0,0,10.0,49.3,11.0,3.5,49.6,14.2,15.0,14.0,97.0,6.9,0.0,5.0,73.3,93.3,6.5,True,1,"$825,000",$0
Chester Taylor,151.0,34.0,1160.0,4740.0,26.0,1.98,15.27,22.0,49.0,0,222.0,39.88,4.01,7.62,398.0,299.0,2324.0,7.68,6.0,112.0,39.46,73.53999999999999,5.62,32,12.0,1.0,20.0,77.0,1.0,17.0,1.2,7.6,0.0,1.0,0,4.0,40.0,34.0,3.9,6.4,1.7,24.0,14.0,91.0,6.5,0.0,3.0,16.7,58.3,3.8,False,0,0,0
Chris Henry,11.0,0.0,32.0,122.0,2.0,0.225,1.9,0.0,1.0,0,5.0,12.9,3.4,1.35,7.0,6.0,53.0,8.8,0.0,2.0,71.4,85.7,7.6,25,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Chris Jennings,9.0,1.0,63.0,220.0,1.0,1.0,6.2,0.0,2.0,0,10.0,39.7,3.5,7.0,13.0,9.0,56.0,6.2,0.0,3.0,46.2,69.2,4.3,24,9.0,1.0,63.0,220.0,1.0,19.0,1.0,6.2,0.0,2.0,0,10.0,39.7,16.0,3.5,24.4,7.0,13.0,9.0,56.0,6.2,0.0,3.0,46.2,69.2,4.3,False,0,0,0
Deji Karim,23.0,0.0,98.0,290.0,0.0,0.75,5.45,5.0,3.0,0,18.0,38.6,3.3499999999999996,4.25,26.0,17.0,130.0,5.949999999999999,0.0,5.0,17.700000000000003,58.3,3.8499999999999996,27,7.0,0.0,12.0,51.0,0.0,-1.0,0.1,-0.1,0.0,0.0,0,3.0,58.3,14.0,4.3,7.3,1.7,2.0,1.0,-1.0,-1.0,0.0,0.0,0.0,50.0,-0.5,False,0,0,0
Derrick Ward,93.0,10.0,551.0,2628.0,12.0,0.975,7.725,6.0,27.0,0,129.0,45.25,4.533333333333333,5.5625,136.0,96.0,787.0,7.8,3.0,31.0,31.650000000000002,54.4,4.316666666666666,31,12.0,1.0,45.0,154.0,2.0,,0.0,0.0,0.0,1.0,0,11.0,46.7,15.0,3.4,12.8,3.8,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0,0,0
Devin Moore,4.0,0.0,2.0,-2.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,-1.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,,25,4.0,0.0,2.0,-2.0,0.0,,0.0,0.0,2.0,,0,0.0,0.0,1.0,-1.0,-0.5,0.5,0.0,0.0,0.0,,0.0,0.0,,,,False,0,0,0
Dimitri Nance,12.0,0.0,36.0,95.0,0.0,0.3,2.5,0.0,1.0,0,4.0,41.7,2.6,3.0,4.0,3.0,30.0,10.0,0.0,2.0,75.0,75.0,7.5,22,12.0,0.0,36.0,95.0,0.0,14.0,0.3,2.5,0.0,1.0,0,4.0,41.7,11.0,2.6,7.9,3.0,4.0,3.0,30.0,10.0,0.0,2.0,75.0,75.0,7.5,False,0,0,0
