Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Ahmad Bradshaw,58.0,12.0,529.0,2558.0,17.0,1.2,9.3,15.0,21.0,0,120.0,48.875,5.725,8.65,99.0,75.0,575.0,7.75,1.0,27.0,37.875,68.575,5.425000000000001,29,6.0,0.0,31.0,85.0,0.0,10.0,1.7,10.7,0.0,1.0,0,5.0,32.3,23.0,2.7,14.2,5.2,14.0,10.0,64.0,6.4,3.0,5.0,57.1,71.4,4.6,4500000.0
Alfonso Smith,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,6.0,0.0,7.0,19.0,0.0,5.0,0.5,1.8,0.0,0.0,0,1.0,28.6,12.0,2.7,3.2,1.2,4.0,3.0,11.0,3.7,0.0,0.0,0.0,75.0,2.8,0.0
Brandon Jackson,52.0,16.0,347.0,1329.0,7.0,2.075,15.75,3.0,17.0,0,59.0,42.4,3.95,6.325,137.0,110.0,844.0,7.8,2.0,41.0,45.375,79.1,6.15,27,2.0,0.0,8.0,54.0,0.0,14.0,1.0,10.0,0.0,0.0,0,2.0,50.0,25.0,6.8,27.0,4.0,4.0,2.0,20.0,10.0,0.0,2.0,50.0,50.0,5.0,2250000.0
Brian Westbrook,121.0,90.0,1385.0,6335.0,41.0,3.6666666666666665,32.577777777777776,12.0,80.0,0,322.0,45.24444444444444,4.533333333333333,11.3,599.0,442.0,3940.0,8.88888888888889,30.0,172.0,44.333333333333336,72.94444444444444,6.466666666666667,31,14.0,5.0,77.0,340.0,4.0,62.0,1.1,10.7,0.0,3.0,0,16.0,44.2,30.0,4.4,24.3,5.5,24.0,16.0,150.0,9.4,1.0,5.0,33.3,66.7,6.3,0.0
Cedric Benson,76.0,51.0,1256.0,4702.0,25.0,1.1500000000000001,8.35,14.0,31.0,0,233.0,40.63333333333333,3.7999999999999994,16.133333333333336,125.0,91.0,654.0,6.533333333333334,1.0,28.0,38.9,77.73333333333333,4.916666666666667,30,5.0,5.0,71.0,248.0,1.0,18.0,2.8,19.4,1.0,3.0,0,10.0,49.3,11.0,3.5,49.6,14.2,15.0,14.0,97.0,6.9,0.0,5.0,73.3,93.3,6.5,4500000.0
Cedric Peerman,9.0,0.0,2.0,1.0,0.0,0.05,0.8,0.0,0.0,0,0.0,0.0,0.5,0.15,3.0,1.0,11.0,11.0,0.0,1.0,33.3,33.3,3.7,30,6.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.3,4.0,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chester Taylor,139.0,33.0,1140.0,4663.0,25.0,2.0666666666666664,16.12222222222222,22.0,48.0,0,218.0,39.86666666666667,4.022222222222222,8.277777777777779,374.0,285.0,2233.0,7.811111111111111,6.0,109.0,41.98888888888889,75.23333333333333,5.822222222222222,32,12.0,1.0,20.0,77.0,1.0,17.0,1.2,7.6,0.0,1.0,0,4.0,40.0,34.0,3.9,6.4,1.7,24.0,14.0,91.0,6.5,0.0,3.0,16.7,58.3,3.8,810000.0
Darren Sproles,78.0,5.0,249.0,1154.0,6.0,1.8399999999999999,17.56,13.0,30.0,0,48.0,42.04,5.0200000000000005,3.1399999999999997,182.0,146.0,1400.0,7.6,11.0,62.0,43.04,80.24,6.159999999999999,36,6.0,1.0,17.0,66.0,0.0,7.0,1.0,4.0,1.0,1.0,0,3.0,41.2,17.0,3.9,11.0,2.8,10.0,6.0,24.0,4.0,0.0,1.0,20.0,60.0,2.4,3500000.0
DeAngelo Williams,64.0,37.0,841.0,4211.0,31.0,1.86,14.440000000000001,6.0,36.0,0,189.0,40.88,4.779999999999999,13.3,158.0,118.0,922.0,7.359999999999999,4.0,42.0,43.68,76.16,5.619999999999999,33,9.0,4.0,98.0,343.0,4.0,20.0,2.0,13.1,0.0,3.0,0,22.0,43.9,17.0,3.5,38.1,10.9,27.0,18.0,118.0,6.6,2.0,6.0,40.7,66.7,4.4,8600000.0
DeShawn Wynn,23.0,4.0,64.0,332.0,5.0,0.6,5.3,1.0,3.0,0,12.0,38.4,7.033333333333334,2.55,24.0,14.0,122.0,9.200000000000001,0.0,6.0,30.166666666666668,64.3,5.966666666666666,27,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Rhodes,99.0,33.0,814.0,3286.0,26.0,1.3125,9.1125,16.0,40.0,0,184.0,45.0875,4.025,8.3625,210.0,147.0,1025.0,7.5375,4.0,44.0,39.15,63.9375,4.975,31,3.0,0.0,37.0,172.0,0.0,4.0,0.3,1.3,1.0,1.0,0,8.0,43.2,15.0,4.6,57.3,12.3,4.0,1.0,4.0,4.0,0.0,0.0,0.0,25.0,1.0,0.0
Fred Taylor,153.0,137.0,2534.0,11695.0,66.0,1.6538461538461537,13.330769230769231,27.0,109.0,0,521.0,43.26923076923077,4.469230769230769,15.738461538461538,401.0,290.0,2384.0,7.5076923076923086,8.0,95.0,45.176923076923075,70.92307692307692,5.369230769230769,34,7.0,0.0,43.0,155.0,0.0,7.0,0.3,0.9,0.0,1.0,0,9.0,39.5,24.0,3.6,22.1,6.1,3.0,2.0,6.0,3.0,0.0,0.0,33.3,66.7,2.0,0.0
