Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Adrian Peterson,193.0,90.0,1970.0,9075.0,67.0,1.225,9.075,28.0,81.0,0,439.0,43.425,4.3625,10.625,331.0,247.0,1851.0,7.675,4.0,79.0,40.6625,76.725,6.13125,36,4.0,3.0,38.0,98.0,2.0,5.0,1.0,2.0,1.0,1.0,0,6.0,42.1,16.0,2.6,24.5,9.5,4.0,4.0,8.0,2.0,0.0,0.0,25.0,100.0,2.0,1015000.0
Akeem Hunt,30.0,1.0,45.0,228.0,0.0,0.5333333333333333,3.766666666666667,2.0,2.0,0,12.0,40.699999999999996,4.666666666666667,1.8,21.0,13.0,99.0,8.0,0.0,4.0,19.766666666666666,64.03333333333333,5.2,24,15.0,0.0,8.0,23.0,0.0,20.0,0.3,2.1,0.0,0.0,0,1.0,25.0,11.0,2.9,1.5,0.5,7.0,4.0,31.0,7.8,0.0,1.0,14.3,57.1,4.4,0.0
Alfred Blue,57.0,14.0,523.0,1908.0,6.0,0.825,5.425,4.0,14.0,0,96.0,43.475,3.7,8.9,59.0,49.0,316.0,6.45,2.0,14.0,55.575,82.475,5.4,27,16.0,2.0,150.0,499.0,2.0,28.0,1.3,9.6,0.0,5.0,0,25.0,37.3,17.0,3.3,31.2,9.4,27.0,20.0,154.0,7.7,0.0,4.0,48.1,74.1,5.7,880000.0
Alfred Morris,92.0,69.0,1262.0,5503.0,32.0,0.6166666666666667,4.466666666666666,11.0,36.0,0,275.0,46.76666666666667,4.25,13.416666666666666,82.0,57.0,421.0,6.733333333333333,0.0,16.0,37.6,68.98333333333333,4.716666666666667,32,9.0,0.0,55.0,238.0,1.0,9.0,0.3,2.1,0.0,1.0,0,13.0,52.7,20.0,4.3,26.4,6.1,4.0,3.0,19.0,6.3,1.0,2.0,75.0,75.0,4.8,790000.0
Andre Ellington,65.0,17.0,418.0,1752.0,10.0,2.4,21.7,4.0,19.0,0,76.0,40.239999999999995,4.16,6.6,223.0,151.0,1368.0,8.92,3.0,69.0,42.14,66.42,5.9399999999999995,28,12.0,2.0,20.0,55.0,1.0,29.0,3.3,30.8,0.0,3.0,0,3.0,40.0,14.0,2.8,4.6,1.7,59.0,39.0,369.0,9.5,0.0,16.0,47.5,66.1,6.3,0.0
Andre Williams,41.0,7.0,332.0,1090.0,8.0,0.30000000000000004,2.125,1.0,7.0,0,44.0,25.025,3.45,9.55,42.0,19.0,137.0,7.1,0.0,6.0,20.099999999999998,27.3,1.9333333333333333,25,8.0,0.0,9.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,33.3,7.0,2.8,3.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benny Cunningham,71.0,3.0,180.0,777.0,4.0,1.5399999999999998,13.440000000000001,7.0,12.0,0,35.0,37.64,4.220000000000001,2.46,145.0,113.0,992.0,8.98,3.0,49.0,44.739999999999995,74.36,6.62,28,15.0,0.0,11.0,20.0,0.0,9.0,0.1,0.6,0.0,0.0,0,0.0,18.2,6.0,1.8,1.3,0.7,2.0,1.0,9.0,9.0,0.0,1.0,50.0,50.0,4.5,1050000.0
Bishop Sankey,29.0,12.0,199.0,762.0,3.0,1.1,9.5,4.0,6.0,0,31.0,44.400000000000006,3.9,6.55,45.0,32.0,272.0,8.65,1.0,13.0,46.65,70.95,6.05,23,13.0,3.0,47.0,193.0,1.0,30.0,1.1,10.7,2.0,2.0,0,5.0,44.7,16.0,4.1,14.8,3.6,22.0,14.0,139.0,9.9,1.0,8.0,45.5,63.6,6.3,0.0
Branden Oliver,30.0,8.0,226.0,773.0,3.0,1.6666666666666667,12.233333333333333,0.0,8.0,0,45.0,40.766666666666666,3.1666666666666665,6.566666666666667,71.0,55.0,409.0,6.8,1.0,18.0,43.86666666666667,73.73333333333333,5.3,26,8.0,0.0,35.0,83.0,0.0,11.0,0.8,3.3,0.0,1.0,0,6.0,31.4,26.0,2.4,10.4,4.4,11.0,6.0,26.0,4.3,0.0,2.0,18.2,54.5,2.4,705000.0
Branden Oliver,30.0,8.0,226.0,773.0,3.0,1.6666666666666667,12.233333333333333,0.0,8.0,0,45.0,40.766666666666666,3.1666666666666665,6.566666666666667,71.0,55.0,409.0,6.8,1.0,18.0,43.86666666666667,73.73333333333333,5.3,26,8.0,0.0,35.0,83.0,0.0,11.0,0.8,3.3,0.0,1.0,0,6.0,31.4,26.0,2.4,10.4,4.4,11.0,6.0,26.0,4.3,0.0,2.0,18.2,54.5,2.4,0.0
Brandon Bolden,83.0,6.0,216.0,912.0,6.0,0.6,4.633333333333334,0.0,10.0,0,51.0,53.01666666666667,4.25,2.8499999999999996,75.0,47.0,373.0,6.783333333333334,2.0,17.0,26.833333333333332,57.333333333333336,3.9333333333333336,33,17.0,0.0,4.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,50.0,26.0,7.8,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850000.0
Bronson Hill,5.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,50.0,1.75,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-2.0,-2.0,-1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
