Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Signed,Years,Value,Total_GTD
Aaron Jones,97.0,85.0,1177.0,5940.0,45.0,2.742857142857143,20.642857142857142,15.0,63.0,0,296.0,54.92857142857143,5.1000000000000005,11.985714285714286,364.0,272.0,2076.0,7.085714285714286,18.0,101.0,41.92857142857143,71.81428571428572,5.228571428571429,30,17.0,17.0,255.0,1138.0,5.0,25.0,3.0,24.0,5.0,11.0,0,49.0,49.8,41.0,4.5,66.9,15.0,62.0,51.0,408.0,8.0,2.0,20.0,58.1,82.3,6.6,True,1,"$7,000,000","$7,000,000"
Alexander Mattison,75.0,19.0,584.0,2370.0,11.0,1.3199999999999998,9.52,5.0,20.0,0,120.0,43.62,4.1,7.840000000000001,128.0,100.0,718.0,7.4799999999999995,6.0,27.0,45.54,80.72,6.08,26,14.0,7.0,132.0,420.0,4.0,31.0,2.6,21.0,1.0,4.0,0,25.0,35.6,24.0,3.2,30.0,9.4,48.0,36.0,294.0,8.2,1.0,13.0,35.4,75.0,6.1,True,1,"$2,000,000","$1,650,000"
Antonio Gibson,61.0,32.0,642.0,2643.0,22.0,2.825,20.95,12.0,25.0,0,150.0,48.95,4.125,10.55,213.0,172.0,1283.0,7.425,7.0,57.0,45.975,80.825,6.0,26,17.0,3.0,120.0,538.0,1.0,50.0,1.4,12.1,2.0,5.0,0,24.0,45.0,45.0,4.5,31.6,7.1,29.0,23.0,206.0,9.0,0.0,11.0,51.7,79.3,7.1,True,3,"$11,250,000","$5,300,000"
Austin Ekeler,103.0,68.0,990.0,4355.0,39.0,4.285714285714286,37.528571428571425,21.0,59.0,0,229.0,49.199999999999996,4.557142857142857,9.728571428571428,556.0,440.0,3884.0,9.057142857142859,30.0,179.0,50.871428571428574,78.10000000000001,7.071428571428571,29,12.0,6.0,77.0,367.0,4.0,34.0,2.9,30.5,3.0,7.0,0,19.0,51.9,50.0,4.8,30.6,6.4,41.0,35.0,366.0,10.5,0.0,14.0,53.7,85.4,8.9,True,2,"$8,340,000","$4,210,000"
Boston Scott,75.0,12.0,302.0,1295.0,16.0,0.8666666666666667,6.916666666666667,8.0,12.0,0,74.0,50.779999999999994,4.26,3.466666666666667,90.0,71.0,566.0,7.88,1.0,23.0,38.14,78.6,6.0200000000000005,28,15.0,0.0,20.0,86.0,0.0,27.0,0.3,3.5,1.0,1.0,0,5.0,50.0,18.0,4.3,5.7,1.3,6.0,4.0,52.0,13.0,0.0,2.0,33.3,66.7,8.7,True,1,"$1,225,000","$250,000"
Boston Scott,75.0,12.0,302.0,1295.0,16.0,0.8666666666666667,6.916666666666667,8.0,12.0,0,74.0,50.779999999999994,4.26,3.466666666666667,90.0,71.0,566.0,7.88,1.0,23.0,38.14,78.6,6.0200000000000005,28,15.0,0.0,20.0,86.0,0.0,27.0,0.3,3.5,1.0,1.0,0,5.0,50.0,18.0,4.3,5.7,1.3,6.0,4.0,52.0,13.0,0.0,2.0,33.3,66.7,8.7,False,0,0,0
Cam Akers,36.0,15.0,398.0,1581.0,11.0,1.575,9.325,3.0,11.0,0,77.0,34.175,2.9749999999999996,9.325,47.0,38.0,320.0,7.475,1.0,14.0,35.725,85.625,6.1,25,17.0,2.0,104.0,444.0,2.0,9.0,0.8,4.0,1.0,3.0,0,21.0,38.5,58.0,4.3,26.1,6.1,18.0,14.0,68.0,4.9,3.0,4.0,33.3,77.8,3.8,True,1,"$1,175,000",$0
Chase Edmonds,83.0,18.0,450.0,1972.0,11.0,1.9000000000000001,13.966666666666667,4.0,23.0,0,96.0,46.083333333333336,4.25,5.533333333333334,205.0,158.0,1159.0,7.3999999999999995,6.0,54.0,44.833333333333336,75.56666666666666,5.45,27,13.0,0.0,49.0,176.0,0.0,14.0,1.1,6.2,0.0,2.0,0,8.0,46.9,21.0,3.6,13.5,3.8,17.0,14.0,81.0,5.8,0.0,5.0,58.8,82.4,4.8,True,1,"$1,500,000","$825,000"
Clyde Edwards-Helaire,48.0,32.0,441.0,1845.0,12.0,1.875,15.825,2.0,19.0,0,87.0,49.525,4.05,9.4,122.0,89.0,765.0,8.775,7.0,38.0,52.95,75.125,6.55,25,2.0,0.0,13.0,46.0,0.0,14.0,1.5,12.0,0.0,0.0,0,2.0,46.2,12.0,3.5,23.0,6.5,5.0,3.0,24.0,8.0,0.0,1.0,20.0,60.0,4.8,True,1,"$1,700,000","$1,325,000"
Clyde Edwards-Helaire,48.0,32.0,441.0,1845.0,12.0,1.875,15.825,2.0,19.0,0,87.0,49.525,4.05,9.4,122.0,89.0,765.0,8.775,7.0,38.0,52.95,75.125,6.55,25,2.0,0.0,13.0,46.0,0.0,14.0,1.5,12.0,0.0,0.0,0,2.0,46.2,12.0,3.5,23.0,6.5,5.0,3.0,24.0,8.0,0.0,1.0,20.0,60.0,4.8,True,1,"$1,700,000","$1,325,000"
