Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Ahmad Bradshaw,103.0,36.0,1083.0,4928.0,36.0,1.8888888888888888,14.633333333333333,22.0,47.0,0,253.0,47.233333333333334,4.811111111111111,10.28888888888889,243.0,187.0,1493.0,7.7666666666666675,12.0,74.0,44.68888888888889,73.95555555555556,5.777777777777778,29,6.0,0.0,31.0,85.0,0.0,10.0,1.7,10.7,0.0,1.0,0,5.0,32.3,23.0,2.7,14.2,5.2,14.0,10.0,64.0,6.4,3.0,5.0,57.1,71.4,4.6,0.0
Alfred Morris,64.0,64.0,1078.0,4713.0,29.0,0.75,5.699999999999999,11.0,30.0,0,235.0,45.6,4.3,16.85,67.0,47.0,365.0,7.574999999999999,0.0,15.0,41.125,71.525,5.375,32,9.0,0.0,55.0,238.0,1.0,9.0,0.3,2.1,0.0,1.0,0,13.0,52.7,20.0,4.3,26.4,6.1,4.0,3.0,19.0,6.3,1.0,2.0,75.0,75.0,4.8,1750000.0
Anthony Dixon,96.0,2.0,274.0,934.0,11.0,0.25,1.4833333333333334,1.0,7.0,0,45.0,43.21666666666667,3.0500000000000003,2.8666666666666667,25.0,23.0,140.0,6.319999999999999,0.0,6.0,41.04,94.92,5.9799999999999995,28,16.0,1.0,21.0,44.0,1.0,14.0,0.4,2.8,0.0,1.0,0,5.0,28.6,6.0,2.1,2.8,1.3,7.0,6.0,44.0,7.3,0.0,1.0,42.9,85.7,6.3,0.0
Arian Foster,76.0,68.0,1454.0,6472.0,54.0,3.314285714285714,31.32857142857143,16.0,62.0,0,339.0,46.6,4.3,17.657142857142855,345.0,249.0,2268.0,9.285714285714286,14.0,101.0,47.714285714285715,73.71428571428571,6.942857142857143,30,4.0,2.0,22.0,55.0,0.0,50.0,1.5,19.5,1.0,1.0,0,3.0,27.3,9.0,2.5,13.8,5.5,10.0,6.0,78.0,13.0,0.0,2.0,20.0,60.0,7.8,1500000.0
Bernard Pierce,52.0,3.0,359.0,1345.0,5.0,0.575,2.85,1.0,10.0,0,68.0,33.75,3.375,6.1000000000000005,47.0,32.0,171.0,5.175,0.0,7.0,34.8,59.224999999999994,3.025,24,7.0,0.0,6.0,11.0,0.0,6.0,0.4,1.0,0.0,0.0,0,1.0,16.7,4.0,1.8,1.6,0.9,5.0,3.0,7.0,2.3,0.0,0.0,40.0,60.0,1.4,760000.0
Bernard Pierce,52.0,3.0,359.0,1345.0,5.0,0.575,2.85,1.0,10.0,0,68.0,33.75,3.375,6.1000000000000005,47.0,32.0,171.0,5.175,0.0,7.0,34.8,59.224999999999994,3.025,24,7.0,0.0,6.0,11.0,0.0,6.0,0.4,1.0,0.0,0.0,0,1.0,16.7,4.0,1.8,1.6,0.9,5.0,3.0,7.0,2.3,0.0,0.0,40.0,60.0,1.4,0.0
Bilal Powell,58.0,16.0,402.0,1609.0,7.0,1.8,14.38,4.0,14.0,0,86.0,35.56,3.6799999999999997,6.8,172.0,112.0,899.0,7.9,2.0,50.0,28.28,71.66,5.6,31,13.0,1.0,59.0,229.0,0.0,9.0,0.5,2.5,0.0,1.0,0,12.0,39.0,17.0,3.9,17.6,4.5,12.0,7.0,33.0,4.7,0.0,0.0,16.7,58.3,2.8,3750000.0
Bobby Rainey,46.0,11.0,249.0,990.0,6.0,1.1333333333333335,8.366666666666667,12.0,9.0,0,44.0,36.96666666666667,3.9,5.533333333333334,67.0,51.0,377.0,5.966666666666666,2.0,17.0,46.56666666666666,84.06666666666666,4.8999999999999995,30,4.0,0.0,1.0,2.0,0.0,12.0,1.3,4.5,0.0,1.0,0,0.0,0.0,2.0,2.0,0.5,0.3,7.0,5.0,18.0,3.6,0.0,2.0,14.3,71.4,2.6,840000.0
Bryce Brown,42.0,7.0,251.0,1076.0,7.0,0.8999999999999999,8.475000000000001,5.0,9.0,0,61.0,42.575,3.875,6.325,59.0,37.0,316.0,8.6,0.0,13.0,30.6,48.475,4.1,24,3.0,0.0,25.0,72.0,1.0,0.0,0.0,0.0,0.0,1.0,0,6.0,36.0,18.0,2.9,24.0,8.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ Anderson,35.0,13.0,338.0,1607.0,13.0,1.3333333333333333,11.266666666666666,3.0,15.0,0,84.0,58.26666666666667,4.933333333333334,7.8,81.0,59.0,507.0,8.4,2.0,20.0,26.5,48.9,4.166666666666667,28,2.0,0.0,16.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,31.3,9.0,2.7,21.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
