Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Adrian Peterson,240.0,131.0,2588.0,11619.0,86.0,1.2,9.157894736842104,34.0,99.0,0,561.0,43.72631578947368,4.326315789473685,11.031578947368422,398.0,296.0,2302.0,7.894736842105263,5.0,99.0,42.31578947368421,76.0578947368421,6.205263157894737,36,4.0,3.0,38.0,98.0,2.0,5.0,1.0,2.0,1.0,1.0,0,6.0,42.1,16.0,2.6,24.5,9.5,4.0,4.0,8.0,2.0,0.0,0.0,25.0,100.0,2.0,0.0
Alfred Morris,114.0,70.0,1429.0,6173.0,35.0,0.5222222222222223,3.888888888888889,13.0,40.0,0,313.0,52.74444444444444,4.188888888888888,10.766666666666667,99.0,68.0,513.0,6.975,1.0,23.0,44.3,68.8,4.8375,32,9.0,0.0,55.0,238.0,1.0,9.0,0.3,2.1,0.0,1.0,0,13.0,52.7,20.0,4.3,26.4,6.1,4.0,3.0,19.0,6.3,1.0,2.0,75.0,75.0,4.8,1075000.0
Alfred Morris,114.0,70.0,1429.0,6173.0,35.0,0.5222222222222223,3.888888888888889,13.0,40.0,0,313.0,52.74444444444444,4.188888888888888,10.766666666666667,99.0,68.0,513.0,6.975,1.0,23.0,44.3,68.8,4.8375,32,9.0,0.0,55.0,238.0,1.0,9.0,0.3,2.1,0.0,1.0,0,13.0,52.7,20.0,4.3,26.4,6.1,4.0,3.0,19.0,6.3,1.0,2.0,75.0,75.0,4.8,1075000.0
Ameer Abdullah,74.0,22.0,358.0,1408.0,6.0,1.2666666666666666,10.566666666666666,9.0,14.0,0,71.0,38.9,4.066666666666666,5.283333333333334,112.0,81.0,576.0,7.95,6.0,38.0,56.21666666666667,78.75,6.3999999999999995,31,16.0,3.0,66.0,311.0,2.0,24.0,2.5,16.3,2.0,4.0,0,14.0,50.0,40.0,4.7,19.4,4.1,47.0,40.0,261.0,6.5,3.0,16.0,59.6,85.1,5.6,0.0
Ameer Abdullah,74.0,22.0,358.0,1408.0,6.0,1.2666666666666666,10.566666666666666,9.0,14.0,0,71.0,38.9,4.066666666666666,5.283333333333334,112.0,81.0,576.0,7.95,6.0,38.0,56.21666666666667,78.75,6.3999999999999995,31,16.0,3.0,66.0,311.0,2.0,24.0,2.5,16.3,2.0,4.0,0,14.0,50.0,40.0,4.7,19.4,4.1,47.0,40.0,261.0,6.5,3.0,16.0,59.6,85.1,5.6,0.0
Antonio Williams,1.0,0.0,12.0,63.0,2.0,1.0,20.0,0.0,1.0,0,4.0,58.3,5.3,12.0,1.0,1.0,20.0,20.0,0.0,1.0,100.0,100.0,20.0,25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artavis Pierce,5.0,0.0,6.0,34.0,1.0,0.0,0.0,0.0,0.0,0,2.0,66.7,5.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bo Scarbrough,7.0,5.0,95.0,408.0,1.0,0.1,0.4,1.0,2.0,0,16.0,61.45,4.7,10.4,4.0,1.0,5.0,5.0,0.0,0.0,25.0,25.0,1.3,26,1.0,0.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,66.7,12.0,5.2,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hill,45.0,3.0,209.0,982.0,3.0,0.7000000000000001,6.05,3.0,9.0,0,44.0,44.55,5.025,4.1,48.0,38.0,313.0,10.475,1.0,12.0,35.6,76.175,8.5,26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990000.0
Brian Hill,45.0,3.0,209.0,982.0,3.0,0.7000000000000001,6.05,3.0,9.0,0,44.0,44.55,5.025,4.1,48.0,38.0,313.0,10.475,1.0,12.0,35.6,76.175,8.5,26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
