Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Adrian Peterson,224.0,121.0,2432.0,11015.0,79.0,1.2222222222222223,9.316666666666666,34.0,94.0,0,527.0,43.7,4.35,11.100000000000001,380.0,284.0,2201.0,7.866666666666666,5.0,95.0,41.577777777777776,76.57777777777778,6.238888888888889,36,4.0,3.0,38.0,98.0,2.0,5.0,1.0,2.0,1.0,1.0,0,6.0,42.1,16.0,2.6,24.5,9.5,4.0,4.0,8.0,2.0,0.0,0.0,25.0,100.0,2.0,1050000.0
Alex Collins,36.0,22.0,357.0,1509.0,14.0,1.3333333333333333,10.200000000000001,9.0,14.0,0,83.0,45.23333333333333,4.066666666666666,9.433333333333334,68.0,49.0,376.0,7.566666666666666,1.0,20.0,54.93333333333334,78.43333333333334,5.933333333333334,27,11.0,6.0,108.0,411.0,2.0,28.0,0.8,7.9,1.0,3.0,0,22.0,50.9,25.0,3.8,37.4,9.8,10.0,9.0,87.0,9.7,0.0,3.0,60.0,90.0,8.7,0.0
Alfred Blue,73.0,16.0,673.0,2407.0,8.0,0.9199999999999999,6.26,4.0,19.0,0,121.0,42.239999999999995,3.62,9.0,86.0,69.0,470.0,6.7,2.0,18.0,54.08,80.8,5.46,27,16.0,2.0,150.0,499.0,2.0,28.0,1.3,9.6,0.0,5.0,0,25.0,37.3,17.0,3.3,31.2,9.4,27.0,20.0,154.0,7.7,0.0,4.0,48.1,74.1,5.7,0.0
Ameer Abdullah,58.0,22.0,350.0,1366.0,6.0,1.42,11.959999999999999,9.0,13.0,0,67.0,34.18,3.8200000000000003,6.24,103.0,73.0,518.0,8.080000000000002,4.0,34.0,58.580000000000005,76.72,6.4,31,16.0,3.0,66.0,311.0,2.0,24.0,2.5,16.3,2.0,4.0,0,14.0,50.0,40.0,4.7,19.4,4.1,47.0,40.0,261.0,6.5,3.0,16.0,59.6,85.1,5.6,1047500.0
Bilal Powell,109.0,38.0,850.0,3675.0,15.0,1.7999999999999998,13.966666666666667,8.0,30.0,0,190.0,38.388888888888886,4.044444444444444,7.777777777777778,309.0,211.0,1600.0,7.588888888888889,5.0,83.0,29.766666666666666,69.53333333333333,5.2555555555555555,31,13.0,1.0,59.0,229.0,0.0,9.0,0.5,2.5,0.0,1.0,0,12.0,39.0,17.0,3.9,17.6,4.5,12.0,7.0,33.0,4.7,0.0,0.0,16.7,58.3,2.8,0.0
Bo Scarbrough,6.0,5.0,89.0,377.0,1.0,0.2,0.8,1.0,2.0,0,15.0,56.2,4.2,14.8,4.0,1.0,5.0,5.0,0.0,0.0,25.0,25.0,1.3,26,1.0,0.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,66.7,12.0,5.2,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bo Scarbrough,6.0,5.0,89.0,377.0,1.0,0.2,0.8,1.0,2.0,0,15.0,56.2,4.2,14.8,4.0,1.0,5.0,5.0,0.0,0.0,25.0,25.0,1.3,26,1.0,0.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,66.7,12.0,5.2,31.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Prosise,25.0,2.0,65.0,264.0,2.0,1.4249999999999998,16.225,1.0,5.0,0,9.0,32.2,1.975,2.5,45.0,36.0,393.0,10.4,0.0,14.0,61.825,81.825,8.1,26,10.0,0.0,10.0,19.0,0.0,10.0,0.5,1.8,1.0,0.0,0,0.0,20.0,7.0,1.9,1.9,1.0,5.0,5.0,18.0,3.6,1.0,1.0,40.0,100.0,3.6,0.0
Carlos Hyde,80.0,57.0,1072.0,4370.0,32.0,1.5999999999999999,8.65,15.0,31.0,0,221.0,45.25,4.05,13.6,184.0,129.0,709.0,4.983333333333333,3.0,35.0,32.56666666666667,70.35000000000001,3.5666666666666664,31,12.0,2.0,72.0,253.0,1.0,9.0,1.0,5.4,2.0,2.0,0,14.0,50.0,18.0,3.5,21.1,6.0,21.0,12.0,65.0,5.4,0.0,1.0,38.1,57.1,3.1,2750000.0
Chris Thompson,66.0,1.0,250.0,1194.0,5.0,2.942857142857143,23.714285714285715,9.0,21.0,0,51.0,45.18333333333334,4.633333333333334,3.2285714285714286,284.0,212.0,1772.0,7.8500000000000005,10.0,85.0,42.449999999999996,76.11666666666667,5.883333333333333,30,8.0,0.0,7.0,20.0,0.0,15.0,2.5,18.3,0.0,1.0,0,1.0,42.9,5.0,2.9,2.5,0.9,23.0,20.0,146.0,7.3,1.0,5.0,47.8,87.0,6.3,1400000.0
